Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese			
											
OVERRIDE=POW_Camp											
&Text.Guards.RollCallStart	"Tudo bem, amigos?"	"Alles okay, Leute?"	"Ça va, les gars ?"	"¿Todo bien, gente?"	Все в порядке?	"Tutto bene, gente?"	大伙儿没事吧？	異常はないか、 おまえら？			
Text.Escape.Motorbike.TooManyPlayers	A moto só tem lugar para uma pessoa!	Das Fahrrad trägt nur eine Person!	Il n'y a de la place que pour une personne !	¡En la motocicleta solo hay sitio para una persona!	Этот мотоцикл только для одного человека!	La bici ha spazio per una sola persona!	摩托车只能载一个人！	バイクには1人しか乗れない！ 			
Text.Escape.Motorbike.Interact	Consertar a Moto	Motorrad reparieren	Réparer la moto	Arreglar moto	Починить мотоцикл	Ripara moto	修好摩托车	バイクを修理する			
&Text.Guards.RollCallStart	Que comece a diversäo!	Der Spaß beginnt!	Que la fête commence !	¡Que comience la fiesta!	Веселуха начинается!	Diamo inizio alla festa!	欢乐时光开始！	お楽しみの時間だ！ 			
&Text.Guards.RollCallStart	Essa é minha hora favorita do dia!	Diesen Teil mag ich jeden Tag am liebsten!	C'est mon moment préféré de la journée !	¡Es mi hora preferida del día!	Мое любимое время дня!	È il mio momento preferito della giornata!	这是我一天中最喜欢的时刻！	この時間が一番好きだ！ 			
&Text.Guards.RollCallStart	Um ótimo grupo de pessoas!	Ein netter Haufen!	Vous faites plaisir à voir !	¡Un grupo de gente adorable!	Милейшие люди!	Ma che bei soggetti!	这是一群体面的人！	みんな立派だぞ！ 			
Text.Escape.Glider.Stage3.Succeed	"Finalmente, hora de dar o fora daqui!"	Endlich kann ich hier weggleiten!	"Enfin, c'est l'heure de décoller d'ici !"	"Por fin, ¡ya podemos salir volando de aquí!"	Наконец пришло время улетать отсюда!	Finalmente posso planare fuori di qui!	终于， 是时候滑翔着离开这里了！	さあ、 この刑務所から飛び立つ時だ！ 			
&Text.Guards.RollCallStart	Olá meus amores!	Hallo meine Lieben!	"Bonjour, mes mignons !"	"¡Hola, preciosidades!"	"Привет, мои ласточки!"	Ciao tesorini!	小可爱们， 你们好呀！	やあ、 カワイ子ちゃんたち！ 			
&Text.Guards.RollCallStart	Olá pessoal!	Hallo zusammen!	Salut à tous !	¡Hola a todos!	Всем привет!	Salve a tutti!	大家好！	やあ、 皆さん！ 			
&Text.Guards.RollCallStart	Oooh, estou animado!	Ich bin so aufgeregt!	"Oooh, on va s'amuser !"	"Vaya, ¡qué emoción!"	"О-о, я в предвкушении!"	"Oooh, che emozione!"	我好兴奋啊！	おおお、 燃えるぅぅぅ！ 			
Text.Escape.Glider.Stage1.Wrong	Acho que preciso criar uma Meia Carcaça do Planador.	"Ich glaube, ich muss einen halben Gleiterrahmen bauen."	Je crois qu'il me faut un demi cadre de planeur.	Tengo que fabricar otro medio bastidor de deslizador.	"Я думаю, нужно сделать половину каркаса дельтаплана"	Penso di dover creare una Metà telaio per aliante	我似乎需要制作半副滑翔机骨架	「グライダーフレーム（半分）」を作る必要がありそうだ			
Text.Escape.Glider.Stage2.Wrong	Acho que preciso criar outra Meia Carcaça do Planador.	"Ich glaube, ich muss einen weiteren halben Gleiterrahmen bauen."	Je crois qu'il me faut une autre moitié de cadre de planeur.	Creo que tengo que fabricar otro medio bastidor de deslizador.	"Я думаю, нужно сделать другую половину каркаса дельтаплана"	Penso di dover creare un'altra Metà telaio per aliante	我似乎需要再制作半副滑翔机骨架	「グライダーフレーム（半分）」をもう1つ、  作る必要がありそうだ			
Text.Escape.Glider.TooFewPlayers	Näo posso pilotar essa coisa sozinho!	Ich kann dieses Ding nicht alleine fliegen!	J'ai besoin d'aide pour piloter ça !	¡No puedo hacer volar esta cosa yo solo!	Я не смогу управлять этим в одиночку!	Serve un aiuto per far volare questa cosa!	我自己一人没法驾驶这东西！	1人では飛ばせない！ 			
Text.Escape.Glider.Stage1.Succeed	Preciso criar outra Meia Carcaça do Planador.	Ich muss einen weiteren halben Gleiterrahmen bauen.	Il me faut un autre demi cadre de planeur.	Tengo que fabricar otro medio bastidor de deslizador.	Мне нужно сделать другую половину каркаса дельтаплана	Devo creare un'altra Metà telaio per aliante	我需要再制作半副滑翔机骨架	「グライダーフレーム（半分）」をもう1つ、 作らないと			
&Text.Guards.RollCallMain	"Ignore as sirenes de Ataque Aéreo, elas estäo danificadas"	"Ignoriert die Sirenen für Luftangriffe, die sind kaputt."	"Ne faites pas attention à la sirène, elle est détraquée."	"Ignora las sirenas de ataque aéreo, están averiadas."	"Не обращайте внимания на сирены воздушной атаки, они барахлят"	"Non fate caso alle sirene antiaeree, sono guaste"	无视空袭警报。警报器坏了	空襲警報は気にするな、 故障中だ			
