Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese			
Text.Item.AdrenalineShot	Dose de Adrenalina	Adrenalinschuss	Dose d'adrénaline	Adrenalina	Заряд адреналина	Adrenalina	肾上腺素针	強心剤			
Text.Item.Aftershave	Loçäo Pós-Barba	Aftershave	Bouteille d'après-rasage	Loción para después del afeitado	Лосьон после бритья	Bottiglia di dopobarba	一瓶须后水	シェーブローション			
Text.Item.OldBox	Caixa Antiga	Alte Schachtel	Vieille boîte	Caja vieja	Коробка	Vecchia scatola	旧盒子	古い箱			
Text.Item.Foil	Papel Alumínio	Alufolie	Rouleau d'aluminium	Papel de aluminio	Рулон фольги	Rotolo di alluminio	一卷锡箔纸	アルミホイル			
Text.Item.BalsaWood	Madeira Balsa	Balsaholz	Balsa	Madera de balsa	Пробк. дерево	Legno di balsa	轻木	バルサ材			
Text.Item.MedicalMesh	Vendas Médicas	Bandage	Gaze	Venda médica	Мед. сетка	Benda medica	医用绷带	医療用メッシュ			
Text.Item.Baseball	Bola de Beisebol	Bola de Beisebol	Balle de base-ball	Pelota de béisbol	Бейсбол	Palla da baseball	棒球	ボール			
Text.Item.BaseballMitt	Luva de Beisebol	Baseballhandschuh	Gant de base-ball	Guante de béisbol	Бейсб. перчатка	Guanto da baseball	棒球手套	グローブ			
Text.Item.Battery	Bateria	Batterie	Pile	Pila	Батарейка	Batteria	电池	乾電池			
Text.Item.Mug	Caneca	Becher	Caneca	Taza	Кружка	Tazza	马克杯	マグカップ			
Text.Item.PaintedBox	Caixa Pintada	Bemalte Schachtel	Boîte peinte	Caja pintada	Цвет. коробка	Scatola dipinta	上了漆的盒子	塗装した箱			
Text.Item.Broom	Vassoura	Besen	Balai	Escoba	Метла	Scopa	扫帚	ホウキ			
Text.Item.BroomHandle	Cabo de Vassoura	Besenstil	Manche à balai	Palo de escoba	Ручка от метлы	Manico di scopa	扫帚柄	ホウキの柄			
Text.Item.BedSheet	Lençol da Cama	Bettlaken	Drap	Sábana	Простыня	Lenzuola	床单	ベッドシーツ			
Text.Item.Sheet	Lençol	Bettlaken	Drap	Sábana	Простыня	Lenzuola	床单	ベッドシーツ			
Text.Item.Paper	Folha de Papel	Blatt Papier	Feuille de papier	Folio	Лист бумаги	Foglio di carta	纸张	紙きれ			
Text.Item.SheetOfMetal	Chapa de Metal	Blech	Plaque de métal	Lámina de metal	Метал. пластина	Lastra di metallo	金属板	金属板			
Text.Item.Bleach	Garrafa de Água Sanitária 	Bleichmittel	Bac d'eau de Javel	Bote de lejía	Отбеливатель	Flacone di candeggina	一盆漂白剂	漂白剤			
Text.Item.Bolts	Parafusos	Bolzen	Boulons	Tornillos	Болты	Bulloni	螺栓	ボルト			
Text.Item.Bongos	Bongos	Bongos	Bongo	Bongos	Бонго	Bongo	邦戈鼓	ボンゴ			
Text.Item.Crowbar	Pé de Cabra	Brecheisen	Pied-de-biche	Palanca	Ломик	Piede di porco	撬棍	バール			
Text.Item.Letter	Carta	Brief	Lettre	Carta	Письмо	Cartaa	信件	手紙			
Text.Item.Book	Livro	Buch	Livre	Libro	Книга	Libro	书本	本			
