Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese			
											
&Text.Guards.RollCallStart	"Certo, todos atentos!"	"Aufgepasst, alle zusammen!"	"Bon, écoutez tous !"	"¡Bien, que todos atiendan!"	"Эй вы все, слушай сюда!"	"E va bene, ascoltate!"	要开始点名了， 你们竖起耳朵听清楚！ 	おまえら、 よく聞け！			
&Text.Guards.ShakedownNames	$name e $inmate!	$name und $inmate!	$name et $inmate !	¡$name y $inmate!	$name и $inmate!	$name e $inmate!	$name 和 $inmate ！ 	$nameと$inmate！			
&Text.Guard.CharacterTardy	$name ! Andando!	$name! Beweg dich!	$name ! On se bouge !	¡$name! ¡En marcha!	$name! Шевелитесь!	"$name! Muoversi, aria!"	$name！ 快点！ 	$name！早くしろ！			
&Text.Guard.CharacterTardy	$name ! Está atrasado!	$name! Du bist spät!	$name ! T'es en retard !	¡$name! ¡Llegas tarde!	$name! Ты опоздал!	$name! Sei in ritardo!	$name！ 你迟到了！ 	$name！遅いぞ！			
&Text.Guard.Naked	$name ! É proibido andar pelado!	$name! Flitzen ist hier nicht!	$name ! On est pas chez les nudistes !	¡$name! ¡Está prohibido ir desnudo!	$name! Прилюдно оголяться запрещено!	$name! È proibito correre nudi!	$name！ 禁止裸奔！ 	$name！裸で走るのは禁止だ！			
&Text.Guard.CharacterTardy	$name ! Volte para o seu lugar!	"$name! Geh dahin, wo du sein sollst!"	$name ! Retourne à ta place !	¡$name! ¡Vete a tu sitio!	$name! Иди на свое место!	$name! Vai dove dovresti essere!	$name！ 赶紧去该去的地方！ 	$name！決まった場所へ行け！			
&Text.Guard.Heat	$name ! Pare!	$name! Halt!	$name ! Stop !	¡$name! ¡Para!	$name! Стоп!	$name! Fermati!	$name！ 站住！ 	$name！止まれ！			
&Text.Guard.Naked	$name ! Sem nudismo!	$name! Kein Flitzen!	$name ! Personne à poil !	¡$name! ¡Nada de nudismo!	$name! Никакого нудизма!	$name! Non si corre nudi!	$name！ 不许裸奔！ 	$name！このヘンタイめ！			
&Text.Guard.Naked	$name ! Veste uma roupa! Agora!	$name! Kleidung! Jetzt!	$name ! Couvre-moi ça !	¡$name! ¡Ropa! ¡Ahora!	$name! Оденься! Сейчас!	$name! Vestiti! Subito!	$name！ 穿好衣服！  利索点！ 	$name！服だ！早くしろ！			
&Text.Guards.GetDownFromThere	$name ! Pro chäo ou te atacaremos!	$name! Komm runter oder wir holen dich.	$name ! Descends ou je te descends.	¡$name! Baja o te reviento.	$name! Слезай сам или мы тебя снимем	$name! Vieni giù o ti buttiamo giù	$name！ 给我下来， 不然就对你不客气	$name！力ずくで下ろされたいか！			
