Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese	
									
OVERRIDE=Oil_Rig									
&Text.Guards.RollCallMain	Aqui näo existe essa de 'bons tempos'	„Gute Zeiten“ gibt es nicht.	"Le bon temps, c'est de l'histoire ancienne."	Aquí no hay «diversión».	«Хорошие времена» остались далеко позади	Qui sopra non ci si diverte	‘好时光’是不存在的	「いい時」なんてモンは存在しない	
&Text.Guards.RollCallMain	"Quem quer que estava se esgueirando ontem à noite, estamos de olho em você"	"An den Schnüffler von letzter Nacht, wir kriegen dich."	Celui qui était debout la nuit dernière va prendre cher.	"Quienquiera que estuviese merodeando anoche, lo descubriremos."	"Кто бы ни шнырял здесь прошлой ночью, мы тебя засекли"	"Chiunque fosse in giro ieri notte, sappi che ti acciufferemo"	不管是谁昨晚鬼鬼祟祟四处鼠窜，我们已经盯上你了	昨晩コソコソ歩き回っていたヤツ、 バレてるぞ	
&Text.Guards.RollCallMain	O diretor nos pediu para quebrar todos vocês.	"Der Wächter befahl, dass wir euch alle brechen."	Le directeur nous a demandé de vous briser.	El guardián nos ha pedido que os destrocemos.	Надзиратель просил вас выдрессировать	Il direttore ci ha chiesto di farvi a pezzi	典狱长要求我们驯服你们所有人	おまえら全員をぶっ壊せって、 所長に言われてるんでね	
&Text.Guards.RollCallMain	Os tubaröes estäo espeando ser alimentados.	Die Haie da unten warten auf Futter.	Les requins n'attendent plus que toi.	Los tiburones esperan su comida.	Акулы ждут кормежки	Gli squali qui sotto aspettano la pappatoria	下面的鲨鱼等着喂食呢	海に落っこちりゃあ、 腹を空かせたサメの餌さ	
&Text.Guards.RollCallMain	Devo te lembrar do seu lugar?	Du kennst deine Stellung.	Et tu te crois où ?	¿Debo recordarte cuál es tu sitio?	"Напомнить, где твое место?"	Vuoi che ti ricordi qual è il tuo posto?	需要我提醒你们下自己的身份吗？	立場ってモンを教えてやろうか？ 	
&Text.Guards.RollCallMain	Desobedeça e você vai parar no mar.	"Gehorcht ihr nicht, landet ihr im Meer."	Faites les malins et vous nourrirez les poissons.	Quien nos desobedezca acabará en el mar.	Малейшее неповиновение — и окажетесь за бортом	Disobbediteci e finirete in pasto ai pesci	违抗命令者将被丢进大海	逆らうヤツは、 海にぶち込んでやる	
&Text.Guards.RollCallMain	Ontem jogamos dois de vocês no mar.	Gestern haben wir zwei ins Wasser geworfen.	"On en a balancé deux à l'eau, hier."	Ayer tiramos al mar a dos de vosotros.	Вчера мы отправили поплавать парочку ваших.	Ieri abbiamo buttato in mare due di voi	昨天，你们中有两个人被丢进大海了	昨日は2人の囚人が海に沈んだ	
&Text.Guards.RollCallMain	Você näo ouviu minhas ameaças?	Hast du keine einzige Drohung von mir mitbekommen?	T'as pas entendu ce que j'ai dit ?	¿Es que no has oído ni una sola de mis amenazas?	"Вы что, не слышали ни одной моей угрозы?"	Avete sentito tutte le mie minacce?	我的恐吓你们一句也没听进去吗？	脅しが聞こえてなかったか？ 	
&Text.Guards.RollCallMain	Pare de respirar ai atrás!	"Hör auf zu atmen, da hinten!"	"Arrêtez de respirer, derrière !"	¡Dejad de respirar ahí fuera!	Перестаньте там дышать!	"Là dietro, basta respirare!"	后面的，别喘气了！	息をすんじゃねえ！ 	
&Text.Guards.RollCallMain	Fico imaginando que belo mergulho você faria.	"Ich frage mich, wie hoch es spritzen wird."	Je suis curieux de voir si tu sais nager.	Me pregunto cuánto salpicaríais al caer al agua...	"Интересно, какой фонтан сделаешь, нырнув за борт"	Chissà quanta acqua fareste schizzare in aria	我想看看把你们丢进水里能溅起多大的水花	でっかい水しぶきを立ててくれよお	
&Text.Guards.RollCallMain	Vou te explusar se bocejar mais uma vez.	"Ich spül dich weg, wenn du noch einmal gähnst."	Bâille encore une fois et je te jette à l'eau.	Si vuelves a bostezar te tiro por la borda.	Еще раз зевнешь — и я смою тебя за борт	Ti butto di sotto se sbadigli un'altra volta	再敢打哈欠就把你用水冲走	今度あくびをしたら、 海に流してやるからな	
&Text.Guards.RollCallMain	"Näo gosto de repetir, mas…"	"Ich wiederhole mich nicht gerne, aber ..."	"Je n'aime pas me répéter, mais..."	"No me gusta repetirme, pero..."	"Я не люблю повторяться, но..."	"Non vorrei ripetermi, ma..."	我不喜欢反复说一句话，但……	何度も言いたくはないが… 	
&Text.Guards.RollCallMain	Näo precisamos esperar você quebrar uma regra para lhe machucar.	"Ihr müsst keine Regel brechen, wir prügeln euch auch so."	On n'a pas besoin d'une raison pour te taper dessus.	No tenemos que esperar a que incumplas alguna regla para castigarte.	"Нам не нужно ждать, пока вы нарушите правило, чтобы избить вас"	Non dobbiamo aspettare che infrangiate una regola per farvi male	就算你们没有违反规定，我们依然能收拾你们	おまえらを痛めつけるのに、 規則違反を待つ必要はないんだ	
&Text.Guards.RollCallMain	Um de vocês se atreveu a passar por cima de nossas ordens…	"Jemand hat es gewagt, uns zu umgehen ..."	L'un de vous s'est permis d'aller se plaindre...	Uno de vosotros ha osado ir a nuestras espaldas…	Один из вас посмел подсидеть нас...	Uno di voi ha osato metterci i piedi in testa...	你们中居然有人干背着我们擅自行动……	この中に厄介者がいるらしい… 	
&Text.Guards.RollCallMain	Minha botina é o melhor remédio para a doença do mar.	Mein Stiefel heilt alle Arten von Seekrankheit.	Mon pied au cul est idéal pour guérir le mal de mer.	Mi bota es el mejor remedio para el mareo.	Мой сапог — лучшее лекарство от морской болезни	Il mio stivale è la miglior cura per il mal di mare	我的靴子是治疗晕船的最佳药方	船酔いには、 わがブーツがよく効くぞ	
