Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese		
&Text.Emote.ChipSpeech	Quebre aqui!	Hacke hier!	Casse ici !	¡Pica aquí!	Ломай тут!	Colpisci qui!	凿这儿！ 	ここを崩せ！		
&Text.Emote.CutSpeech	Corte aqui!	Säge hier!	Coupe ici !	¡Corta!	Режь тут!	Taglia qui!	砍这儿！ 	ここを切れ！		
&Text.Emote.DigSpeech	Cave aqui!	Grabe hier!	Creuse ici !	¡Cava aquí!	Рой тут!	Scava qui!	挖这儿！ 	ここを掘れ！		
&Text.Emote.FightSpeech	Ataque-os!	Bekämpfe sie!	Attaque-le !	¡Lucha!	Напади на них!	Combatti!	跟他们打！ 	戦え！		
&Text.Emote.FollowSpeech	Siga-me!	Folge mir!	Suis-moi !	¡Sígueme!	Иди за мной!	Seguimi!	跟我来！ 	ついてこい！		
&Text.Emote.HelloSpeech	Olá!	Hallo auch!	Salut !	¡Hola!	"Эй, привет!"	"Ehi, ciao!"	大家好呀！ 	こんにちは！		
&Text.Emote.HelloSpeech	E ai!	Hi!	Yo !	¿Qué tal?	Как оно?	Ehilà!	你好！ 	ちわっす！		
&Text.Emote.HelloSpeech	Hei, olá!	"Oh, hallo!"	Bonjour !	"¡Hey, hola!"	"Эгей, привет!"	"Ohh, ciao!"	哦， 你好！ 	やあ、どうも！		
&Text.Emote.HelpSpeech	Uma ajudinha cairia bem!	Etwas Hilfe wäre nicht schlecht!	Un petit coup de main par ici !	¡Algo de ayuda no estaría mal!	Помощь не помешала бы!	Un po’ di aiuto non guasterebbe!	帮个忙呗！ 	ちょっと手を借りたい！		
&Text.Emote.HelpSpeech	Me ajude!	Hilfe!	À l'aide !	¡Ayuda!	Нужна помощь!	Mi serve aiuto!	我需要帮助！ 	助けてくれ！		
&Text.Emote.HelpSpeech	Preciso de ajuda!	Ich brauche Hilfe!	J'ai besoin d'aide !	¡Necesito ayuda!	Подсобите-ка мне!	Ho bisogno di aiuto!	我需要协助！ 	手を貸してくれ！		
&Text.Emote.HelpSpeech	Alguém pode me ajudar aqui?!	Kann mir hier jemand helfen?!	Quelqu'un peut m'aider ?	¡¿Me puede ayudar alguien aquí?!	Мне может кто-нибудь помочь?!	Qualcuno può aiutarmi?	有人能帮我一把吗？ 	助けに来てくれ！		
&Text.Emote.NotNowSpeech	Agora mesmo näo…	Nicht jetzt ...	Pas tout de suite...	Ahora mismo no...	Не прямо сейчас...	Non adesso...	现在不行…… 	今はよすんだ…		
&Text.Emote.OKSpeech	OK!	OK!	OK !	¡VALE!	ОК!	Ok!	好！ 	いいぞ！		
&Text.Emote.Sorry	Desculpe	Desculpe	Désolé	Perdón	Извини	Scusa	抱歉	すまない		
&Text.Emote.SorrySpeech	Minhas desculpas!	Entschuldigung!	Excuse-moi !	¡Pido disculpas!	Мои извинения!	Scusami!	真对不起！ 	悪かった！		
&Text.Emote.SorrySpeech	Eu sinto muito!	Tut mir ECHT leid!	Vraiment désolé !	¡Lo siento mucho!	Мне ТАК жаль.	Mi dispiace molto!	实在抱歉！ 	マジですまん！		
&Text.Emote.SorrySpeech	Sinto muito!	Tut mir leid!	Pardon !	¡Lo siento!	Извини меня!	Mi dispiace!	不好意思啊！ 	今のは悪かった！		
&Text.Emote.ThanksSpeech	Obrigado por isso!	Danke dafür!	Merci !	¡Gracias!	Спасибо тебе за это!	Grazie mille!	谢谢你！ 	ありがとう！		
&Text.Emote.ThanksSpeech	Valeu!	Danke!	Cimer !	¡Salud!	Будь!	Grazie!	谢谢！ 	助かった！		
&Text.Emote.ThanksSpeech	Valeu parceiro!	"Danke, Kumpel!"	"Merci, vieux !"	"¡Salud, colega!"	"Будь, приятель!"	"Grazie, fratello!"	谢了， 伙计！ 	やるねえ、相棒！		
&Text.Emote.ThanksSpeech	Valeu amigäo!	"Danke, Kumpel!"	Merci gros !	¡Gracias compi!	"Спасибо, брат!"	Grazie amico!	谢了， 朋友！ 	ありがとさん！		
&Text.Emote.ThanksSpeech	"Excelente, valeu!"	"Super, danke!"	"Parfait, merci !"	"¡Excelente, gracias!"	"Отлично, спасибо!"	"Fantastico, grazie!"	好极了， 谢谢！ 	ばっちりだ、どうも！		
&Text.Emote.ThanksSpeech	"Top, valeu!"	"Toll, danke!"	"Cool, merci !"	"¡Bien hecho, gracias!"	"Здорово, спасибо!"	"Bene, grazie!"	漂亮， 谢谢！ 	今のはナイス！		
&Text.Emote.WaitSpeech	Espere aqui!	Warte hier!	Attends ici !	¡Espera aquí!	Жди здесь!	Aspetta qui!	在这儿等着！ 	ここで待て！		
&Text.Interact.Kennel	Esconder	Verstecken	Se cacher	Ocultar	Спрят.	Nasconditi	躲藏	隠れる		
&Text.Interact.PeelPotatoes	Descascar batatas	Kartoffeln schälen	Éplucher patates	Pelar patatas	Чистка картофеля	Pela patate	削土豆皮	ジャガイモの皮をむく		
&Text.Interact.Read	Ler Livros	Lernen	Étudier	Estudio	Учеба	Studia	研究	勉強する		
&Text.LoadingTip	Lembre-se de ler os anúncios da prisäo para obter informaçöes importante!	"Achte auf die Neuigkeiten im Gefängnis, um wichtige Informationen zu erhalten!"	Gardez un œil sur les informations de la prison pour ne rien manquer.	¡Recuerda leer los anuncios de prisión para obtener información importante!	"Не забывайте следить за тюремными новостями, чтобы не пропустить важную информацию!"	Tieni d’occhio le comunicazioni della prigione: contengono informazioni importanti!	别忘了留意监狱的监控录像， 能了解到重要信息！ 	「刑務所フィード」には重要な情報が流れてくる。こまめにチェックしよう！		
&Text.LoadingTip	Fazer favores a outros presos fará com que tenham uma boa opiniäo de você.	"Anderen Insassen einen Gefallen zu leisten, erhöht ihre Meinung von dir."	Rendez des services aux autres détenus pour gagner leurs faveurs.	Hacer favores a los compañeros hará que tengan una mejor opinión de ti.	Одолжения другим заключенным улучшают их мнение о вас.	"Facendo favori ad altri detenuti, migliorerai la loro opinione su di te."	做任务帮助其他囚犯能提升他们对你的好感。 	囚人たちの「頼みごと」を聞いてやると、プレイヤーに対する評価がアップする！		
&Text.LoadingTip	"Os favores podem ser completos e lhe recompensar com dinheiro, itens ou ambas as coisas!"	"Ausgeführte Gefallen bringen dir als Belohnung Geld, Gegenstände oder beides!"	"En rendant des services, vous pourrez recevoir de l'argent, des objets, ou les deux."	"¡Los favores se pueden completar y recompensar con dinero, objetos o ambas cosas!"	Вы можете делать одолжения и получать за них деньги и (или) предметы.	"Se completi i favori, come ricompensa riceverai denaro, oggetti o entrambi!"	你可以完成任务并获得金钱或物品奖励， 有时候两者都能获得！ 	「頼みごと」を完了するとコインやアイテム、またはその両方がもらえる！		
&Text.LoadingTip	Os disfarces podem ser modificados para aumentar a sua proteçäo na luta! 	"Ausstattungen können angepasst werden, um im Kampf besseren Schutz zu bieten! "	Vous pouvez modifier vos tenues pour améliorer la protection lors des combats ! 	¡Los disfraces se pueden modificar para aumentar la protección cuando se pelea! 	Одежду можно модифицировать для дополнительной защиты во время драки! 	L’abbigliamento può essere modificato per aumentare la protezione in combattimento! 	你可以改良服装， 提升其在战斗时提供的防护力！  	囚人服を強化することで、戦闘時に受けるダメージが減少する。		
&Text.LoadingTip	Näo esqueça de usar o mini mapa para se guiar, e se quiser ter uma visäo mais detalhada da prisäo, você pode ampliá-lo!	"Benutze deine Minimap zur Wegfindung. Wenn du eine genauere Ansicht des Gefängnisses willst, kannst du sie erweitern!"	"N'oubliez pas d'utiliser la carte pour vous repérer, ou de l'agrandir pour avoir un meilleur aperçu de la prison."	"No te olvides de usar el minimapa para guiarte, pero si quieres tener una visión más detallada de la prisión, lo puedes ampliar."	"Не забывайте использовать мини-карту для руководства. Чтобы получить более подробную схему тюрьмы, вы можете увеличить карту!"	Ricorda che puoi usare la tua mini-mappa per orientarti. Puoi anche espanderla per vedere la prigione nel dettaglio!	别忘了使用小地图获得指引。 如果你想要查看监狱详情， 可以展开小地图！ 	迷わないよう、ミニマップを活用しよう。拡大すれば、刑務所の全体図もチェックできる！		
